iter	RMSE
0	4432.717709
1	4300.683832
2	4176.109039
3	4059.695293
4	3947.781337
5	3847.967763
6	3753.234438
7	3663.801607
8	3579.31501
9	3495.801563
10	3420.430237
11	3350.846559
12	3284.64317
13	3215.838035
14	3159.145674
15	3103.046699
16	3044.926339
17	2989.908444
18	2938.913252
19	2892.068111
20	2850.995694
21	2812.388639
22	2773.077406
23	2738.334648
24	2706.733505
25	2675.692282
26	2644.002852
27	2614.610087
28	2588.839911
29	2564.514304
30	2541.885271
31	2515.703529
32	2495.428849
33	2476.809774
34	2453.323673
35	2431.8777
36	2415.515342
37	2399.581445
38	2381.347657
39	2364.011955
40	2347.785558
41	2334.010213
42	2319.942635
43	2306.126182
44	2293.062196
45	2281.349994
46	2269.29143
47	2258.144111
48	2247.657361
49	2236.727242
50	2226.859775
51	2217.635413
52	2208.236881
53	2198.986587
54	2191.284855
55	2183.220229
56	2174.192388
57	2165.814625
58	2158.438348
59	2151.641726
60	2144.261907
61	2137.780866
62	2131.32253
63	2125.848209
64	2120.307819
65	2114.44543
66	2108.938918
67	2103.664886
68	2098.564744
69	2093.763798
70	2089.474397
71	2084.294823
72	2080.148083
73	2075.666702
74	2069.885741
75	2063.909313
76	2059.485573
77	2056.049422
78	2052.0113
79	2047.306912
80	2043.205282
81	2039.446249
82	2035.343257
83	2031.121684
84	2026.347418
85	2022.408194
86	2019.768198
87	2015.187319
88	2011.754105
89	2007.73799
90	2004.833039
91	2000.921373
92	1998.43998
93	1994.665465
94	1991.418274
95	1988.333736
96	1984.97876
97	1981.898669
98	1978.894088
99	1976.318962
100	1972.718315
101	1970.096706
102	1967.646057
103	1965.518538
104	1963.443687
105	1960.827088
106	1958.116572
107	1954.759443
108	1952.007953
109	1949.463447
110	1947.556772
111	1944.223166
112	1941.990969
113	1939.643044
114	1936.745681
115	1934.825639
116	1932.529812
117	1930.357889
118	1928.183276
119	1926.081755
120	1924.247364
121	1922.510045
122	1920.725733
123	1918.740393
124	1916.843266
125	1915.266758
126	1913.482426
127	1911.607575
128	1909.840924
129	1908.10718
130	1905.417525
131	1904.383108
132	1902.345568
133	1900.938872
134	1899.7641
135	1897.581123
136	1895.8851
137	1894.266546
138	1892.986601
139	1890.803988
140	1888.900691
141	1887.806844
142	1885.997135
143	1884.765097
144	1883.592906
145	1882.270297
146	1880.915264
147	1879.53544
148	1878.008775
149	1876.198925
150	1874.16135
151	1872.841646
152	1871.198272
153	1870.058046
154	1868.745218
155	1867.958154
156	1866.496515
157	1865.306023
158	1863.570918
159	1862.201555
160	1860.867458
161	1860.052181
162	1859.17773
163	1858.22567
164	1856.91153
165	1855.90261
166	1855.062067
167	1853.856338
168	1852.797273
169	1851.575503
170	1850.559537
171	1849.660516
172	1848.632736
173	1847.612753
174	1846.845695
175	1845.643797
176	1844.529505
177	1843.600538
178	1843.140751
179	1842.153611
180	1841.278193
181	1840.389498
182	1839.674292
183	1838.430745
184	1837.129473
185	1836.284335
186	1835.28926
187	1834.507262
188	1833.872314
189	1833.235382
190	1832.379865
191	1831.404335
192	1830.713337
193	1830.240446
194	1829.707102
195	1828.92702
196	1827.784764
197	1827.17537
198	1826.314786
199	1825.385337
200	1824.413672
201	1823.244105
202	1822.4996
203	1821.46617
204	1820.869483
205	1819.958264
206	1819.329859
207	1818.792334
208	1818.213192
209	1817.634561
210	1816.721237
211	1815.257798
212	1814.833683
213	1814.286893
214	1813.605912
215	1812.850004
216	1812.30348
217	1811.406088
218	1810.683253
219	1809.667742
220	1808.836806
221	1808.024117
222	1807.304625
223	1806.248527
224	1805.211762
225	1804.034358
226	1803.103936
227	1802.692874
228	1801.997074
229	1801.4422
230	1800.793877
231	1800.294256
232	1799.382086
233	1798.485844
234	1797.559584
235	1796.74741
236	1796.103402
237	1795.756329
238	1795.301064
239	1794.526576
240	1794.010797
241	1793.110121
242	1792.672294
243	1792.075462
244	1791.665562
245	1790.876142
246	1789.599342
247	1788.81469
248	1788.161068
249	1787.46558
250	1786.979452
251	1786.168463
252	1785.287502
253	1784.577038
254	1783.799296
255	1783.316838
256	1782.691342
257	1782.254411
258	1781.540042
259	1781.1082
260	1780.684279
261	1779.945512
262	1779.275869
263	1778.740773
264	1778.338005
265	1777.853053
266	1777.325778
267	1776.709803
268	1776.324317
269	1775.836081
270	1775.107675
271	1774.629406
272	1774.018909
273	1773.666894
274	1773.378464
275	1772.885129
276	1772.358622
277	1771.882581
278	1771.233839
279	1770.653204
280	1770.263921
281	1769.196973
282	1768.757835
283	1768.114278
284	1767.491887
285	1766.77808
286	1766.173216
287	1765.613185
288	1765.25242
289	1764.89272
290	1764.418338
291	1764.102112
292	1763.67303
293	1763.119953
294	1762.576968
295	1762.254729
296	1761.997073
297	1761.718477
298	1761.162802
299	1760.878118
