iter	Passed	Remaining
0	11	3439
1	20	3080
2	30	2983
3	41	3042
4	51	3041
5	62	3043
6	71	2984
7	81	2964
8	90	2936
9	100	2909
10	110	2897
11	119	2879
12	130	2878
13	139	2856
14	149	2837
15	160	2841
16	169	2826
17	179	2817
18	189	2805
19	198	2784
20	208	2773
21	218	2757
22	228	2749
23	238	2741
24	251	2769
25	263	2774
26	273	2769
27	286	2780
28	297	2777
29	307	2768
30	316	2747
31	326	2731
32	335	2716
33	344	2696
34	354	2686
35	363	2669
36	374	2659
37	383	2646
38	392	2627
39	401	2612
40	411	2597
41	421	2587
42	430	2572
43	439	2558
44	449	2544
45	459	2534
46	468	2522
47	478	2509
48	488	2500
49	497	2489
50	507	2479
51	516	2465
52	525	2449
53	535	2438
54	543	2421
55	553	2410
56	562	2397
57	571	2383
58	581	2373
59	589	2359
60	599	2349
61	608	2335
62	617	2324
63	626	2309
64	636	2300
65	646	2292
66	655	2279
67	664	2267
68	673	2255
69	682	2243
70	692	2232
71	700	2219
72	709	2207
73	718	2194
74	727	2183
75	737	2174
76	748	2166
77	756	2153
78	766	2143
79	775	2133
80	785	2122
81	795	2113
82	804	2102
83	813	2092
84	823	2084
85	833	2073
86	842	2062
87	851	2052
88	861	2041
89	870	2030
90	878	2018
91	888	2008
92	897	1996
93	911	1998
94	921	1989
95	931	1980
96	942	1972
97	951	1961
98	961	1951
99	970	1940
100	980	1931
101	989	1920
102	998	1909
103	1007	1898
104	1016	1887
105	1025	1877
106	1035	1867
107	1044	1857
108	1055	1849
109	1064	1839
110	1074	1830
111	1085	1821
112	1094	1810
113	1103	1800
114	1113	1790
115	1122	1780
116	1132	1770
117	1141	1759
118	1150	1749
119	1160	1740
120	1169	1730
121	1179	1720
122	1188	1710
123	1199	1702
124	1209	1692
125	1219	1684
126	1228	1673
127	1237	1662
128	1246	1652
129	1255	1641
130	1266	1633
131	1274	1621
132	1290	1621
133	1302	1613
134	1311	1603
135	1321	1593
136	1330	1582
137	1339	1572
138	1347	1560
139	1357	1551
140	1366	1540
141	1374	1529
142	1383	1518
143	1392	1508
144	1400	1497
145	1410	1487
146	1418	1476
147	1427	1466
148	1437	1456
149	1446	1446
150	1458	1439
151	1467	1428
152	1475	1417
153	1484	1407
154	1492	1396
155	1501	1385
156	1510	1376
157	1520	1366
158	1529	1356
159	1539	1347
160	1548	1337
161	1557	1327
162	1566	1316
163	1575	1306
164	1585	1297
165	1594	1287
166	1603	1277
167	1613	1267
168	1622	1257
169	1632	1248
170	1641	1238
171	1651	1228
172	1660	1218
173	1669	1208
174	1677	1198
175	1686	1188
176	1696	1178
177	1705	1168
178	1714	1159
179	1724	1149
180	1734	1140
181	1743	1130
182	1753	1120
183	1762	1110
184	1771	1101
185	1781	1091
186	1791	1082
187	1800	1072
188	1810	1063
189	1820	1053
190	1829	1043
191	1838	1033
192	1847	1024
193	1856	1014
194	1865	1004
195	1874	994
196	1882	984
197	1891	974
198	1900	964
199	1909	954
200	1918	944
201	1927	935
202	1937	925
203	1946	916
204	1954	905
205	1964	896
206	1973	886
207	1982	876
208	1991	867
209	2000	857
210	2009	847
211	2019	838
212	2028	828
213	2037	819
214	2047	809
215	2056	799
216	2065	789
217	2075	780
218	2084	770
219	2093	761
220	2101	751
221	2110	741
222	2120	732
223	2129	722
224	2138	712
225	2147	703
226	2157	693
227	2166	684
228	2175	674
229	2183	664
230	2195	655
231	2205	646
232	2213	636
233	2223	627
234	2233	617
235	2243	608
236	2252	598
237	2260	588
238	2269	579
239	2278	569
240	2289	560
241	2300	551
242	2308	541
243	2319	532
244	2328	522
245	2337	513
246	2347	503
247	2357	494
248	2366	484
249	2375	475
250	2384	465
251	2393	455
252	2403	446
253	2414	437
254	2424	427
255	2433	418
256	2443	408
257	2452	399
258	2461	389
259	2469	379
260	2478	370
261	2487	360
262	2496	351
263	2505	341
264	2515	332
265	2524	322
266	2533	313
267	2542	303
268	2551	294
269	2560	284
270	2570	275
271	2579	265
272	2588	256
273	2598	246
274	2607	237
275	2616	227
276	2639	219
277	2656	210
278	2667	200
279	2677	191
280	2686	181
281	2696	172
282	2704	162
283	2713	152
284	2722	143
285	2731	133
286	2740	124
287	2749	114
288	2757	104
289	2767	95
290	2777	85
291	2786	76
292	2795	66
293	2805	57
294	2814	47
295	2823	38
296	2831	28
297	2839	19
298	2849	9
299	2858	0
